央视-移动,#genre#
CCTV8-电视剧,http://220.180.229.250:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://220.180.229.250:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://220.180.229.250:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://220.180.229.250:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://220.180.229.250:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://220.180.229.250:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://220.180.229.250:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://220.180.229.250:9901/tsfile/live/0015_1.m3u8
卫视-电信1,#genre#
安徽卫视,http://220.180.229.250:9901/tsfile/live/0130_1.m3u8
北京卫视,http://220.180.229.250:9901/tsfile/live/0122_1.m3u8
江苏卫视,http://220.180.229.250:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://220.180.229.250:9901/tsfile/live/0124_1.m3u8
东方卫视,http://220.180.229.250:9901/tsfile/live/0125_1.m3u8
山东卫视,http://220.180.229.250:9901/tsfile/live/0131_1.m3u8
湖南卫视,http://220.180.229.250:9901/tsfile/live/0128_2.m3u8
广东卫视,http://220.180.229.250:9901/tsfile/live/0128_1.m3u8
河南卫视,http://220.180.229.250:9901/tsfile/live/0139_1.m3u8
湖北卫视,http://220.180.229.250:9901/tsfile/live/0132_1.m3u8
四川卫视,http://220.180.229.250:9901/tsfile/live/0123_1.m3u8
江西卫视,http://220.180.229.250:9901/tsfile/live/0138_1.m3u8
经视HD,http://220.180.229.250:9901/tsfile/live/1001_1.m3u8

央视-电信2,#genre#
CCTV-1,http://61.190.129.195:8686/rtp/238.1.78.166:7200
CCTV-2,http://61.190.129.195:8686/rtp/238.1.78.235:7752
CCTV-3,http://61.190.129.195:8686/rtp/238.1.78.170:7232
CCTV-4,http://61.190.129.195:8686/rtp/238.1.78.236:7760
CCTV-5,http://61.190.129.195:8686/rtp/238.1.78.171:7240
CCTV-5+,http://61.190.129.195:8686/rtp/238.1.78.237:7768
CCTV-6,http://61.190.129.195:8686/rtp/238.1.78.172:7248
CCTV-7,http://61.190.129.195:8686/rtp/238.1.78.239:7784
CCTV-8,http://61.190.129.195:8686/rtp/238.1.78.173:7256
CCTV-9,http://61.190.129.195:8686/rtp/238.1.78.240:7792
CCTV-10,http://61.190.129.195:8686/rtp/238.1.78.241:7800
CCTV-11,http://61.190.129.195:8686/rtp/238.1.78.206:7502
CCTV-12,http://61.190.129.195:8686/rtp/238.1.78.242:7808
CCTV-13,http://61.190.129.195:8686/rtp/238.1.79.35:4392
CCTV-14,http://61.190.129.195:8686/rtp/238.1.78.243:7816
CCTV-15,http://61.190.129.195:8686/rtp/238.1.78.222:7648
CCTV-17,http://61.190.129.195:8686/rtp/238.1.78.178:7296
CGTN,http://61.190.129.195:8686/rtp/238.1.78.50:6272
CCTV电视指南,http://61.190.129.195:8686/rtp/238.1.79.53:4560
CCTV央视文化精品,http://61.190.129.195:8686/rtp/238.1.79.54:4568
CCTV女性时尚,http://61.190.129.195:8686/rtp/238.1.79.55:4576
CCTV兵器科技,http://61.190.129.195:8686/rtp/238.1.79.56:4584
CCTV风云足球,http://61.190.129.195:8686/rtp/238.1.79.57:4592
CCTV世界地理,http://61.190.129.195:8686/rtp/238.1.79.60:4616
CCTV怀旧剧场,http://61.190.129.195:8686/rtp/238.1.79.61:4624
CCTV风云剧场,http://61.190.129.195:8686/rtp/238.1.79.62:4632
CCTV第一剧场,http://61.190.129.195:8686/rtp/238.1.79.63:4640
CCTV风云音乐,http://61.190.129.195:8686/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://61.190.129.195:8686/rtp/238.1.79.58:4600
CCTV央视台球,http://61.190.129.195:8686/rtp/238.1.79.59:4608
中国教育CETV-1,http://61.190.129.195:8686/rtp/238.1.78.158:7136
中国教育CETV-2,http://61.190.129.195:8686/rtp/238.1.78.106:6720
空中课堂CETV-4,http://61.190.129.195:8686/rtp/238.1.78.107:6728
卫视-电信2,#genre#
安徽卫视,http://61.190.129.195:8686/rtp/238.1.79.27:4328

北京卫视,http://61.190.129.195:8686/rtp/238.1.78.162:7168
